Name;Address;Phone;E-Mail;Web Site;Longitude;Latitude;SAP ID;ZNL_5000;ZNL_5410;ZNL_5413
A. Ploem & Zn. BV;Marconistraat 32 / 6372 PM LANDGRAAF / NL;+31 455676969;#;#;603.956.970.000.000;5.087.321.380.000.000;11028300;1;1;
A.J. Loots Installatiebedrijf;Avignonlaan 14 / 5627 GA EINDHOVEN / NL;+31 402430910;#;#;544.325.860.000.000;5.147.627.470.000.000;11031804;1;1;
Aangenaam Verwarming en;De Dijken 5c / 1747 EE TUITJENHORN / NL;+31 224551110;info@aangenaamverwarming.nl;www.aangenaamverwarming.nl;477.704.490.000.000;5.273.062.830.000.000;300052393;1;1;1
Air Quality Europe B.V.;De Reulver 26 / 7544 RT ENSCHEDE / NL;+31 532068760;#;www.aqebv.nl;688.947.650.000.000;5.219.574.060.000.000;11043130;1;1;1
Air System;Lentemorgen 5-2 / 6903 CT ZEVENAAR / NL;+31 (316) 849 077;#;www.air-system.nl;607.315.370.000.000;5.193.507.620.000.000;300056040;1;1;
Airhome Ventilatieservice BV;Drenthweg 19 / 9561 AZ TER APEL / NL;+31 850685030;info@airhome.nl;www.airhome.nl;705.593.970.000.000;5.288.763.780.000.000;10063057;1;1;1
Alferink B.V. Installatie-;Industrieweg 15 / 7141 DD GROENLO / NL;+31 544476200;info@alferink.nl;www.alferink.nl;662.654.520.000.000;5.204.067.530.000.000;10063214;1;1;1
Alpha Ventilatie;Maarssenbroeksedijk 4 / 3542 DN UTRECHT / NL;+31 303200120;info@alphaventilatie.nl;www.alphaventilatie.nl;504.430.570.000.000;5.212.448.360.000.000;11039146;1;1;1
Alpha Ventilatie B.V.;Strijkviertel 48B / 3454 PN De Meern / NL;+31 881238700;#;www.alphaventilatie.nl;505.924.000.000.000;5.207.980.000.000.000;11150556;1;1;1
Anbergen Totaal Techniek;Labora 18 / 7776 SC SLAGHAREN / NL;+31 (523) 68 37 13;Info@anbergentotaaltechniek.nl;www.anbergentotaaltechniek.nl;655.071.750.000.000;5.262.420.990.000.000;300042719;;1;
Aqualon van Zutphen Installatie-;Lange Voren 18 / 5521 DD EERSEL / NL;+31 497517092;#;http://www.ptsplumbing.co.uk/branch/286/aylesford-renewables;539.021.040.000.000;5.135.530.810.000.000;10063256;1;1;1
Arendsen Installatie Techniek;Nijverheidweg 2 / 7255 RA HENGELO GLD / NL;+31 575462511;richard@arensden-hengelo.nl;www.arendsen-hengelo.nl;631.181.850.000.000;5.204.255.710.000.000;11138407;1;1;1
Assen Installatietechniek bv;Meulenakker 8 / 7841 EP SLEEN / NL;+31 591390620;info@assentib.nl;www.assentib.nl;680.801.140.000.000;5.276.537.850.000.000;10063176;1;1;1
B&B Installatietechniek;Ploeg 56 / 5351 NV BERGHEM / NL;+31 412 402576;info@bb-installatietechniek.nl;#;557.626.730.000.000;5.176.824.540.000.000;300057793;1;1;
BJ-Lupron bv;Afrikastraat 18 / 6014 CG ITTERVOORT / NL;+31 495538255;#;https://www.bj-lupron.nl/;583.750.610.000.000;5.118.039.110.000.000;10063056;;1;
Bakker Klimaat;Zaadmarkt 9-11 / 1681 PD ZWAAGDYK / NL;+31 228712088;info@bakkerklimaat.nl;www.bakkerklimaat.nl;514.999.820.000.000;5.270.194.530.000.000;11136926;1;1;1
Bergman Installatiewerken;Molenhoekweg 9 / 7722 MD DALFSEN / NL;+31 529401010;info@bergmaninstallatiewerken.nl;www.bergmaninstallatiewerken.nl;620.017.150.000.000;5.248.199.730.000.000;11042101;1;1;1
Bernhezer Installatiebedrijf BV;Lindestraat 17 / 5388 HT NISTELRODE / NL;+31 413296190;#;https://bernhezerinstallatie.nl/;556.176.650.000.000;5.169.936.570.000.000;11136034;1;1;1
Besteman en Zn.;Reflectiestraat 35 / 2631 RV NOOTDORP / NL;+31 703834744;#;#;434.089.740.000.000;5.208.717.040.000.000;11137557;;1;
Bevico B.V.;Bijdorp-West 82 / 2992 LC BARENDRECHT / NL;+31 884009500;#;www.bevico.nl;452.101.690.000.000;5.186.255.180.000.000;10063344;1;1;1
Bijlstra Installaties BV;Hogedijken 22 / 9101 WV DOKKUM / NL;+31 519221790;info@bijlstra.nl;www.bijlstra-installaties.nl;601.106.630.000.000;5.332.215.070.000.000;300044135;1;1;1
Blankestijn Installaties BV;Kuipersweg 27 / 3449 JA WOERDEN / NL;+31 (348) 42 28 88;info@blankestijn.nl;www.blankestijn.nl;486.390.820.000.000;5.208.420.130.000.000;300042757;1;1;
Boer en Van Veen BV;Ambachtstraat 25A / 8263 AJ KAMPEN / NL;+31 383312800;info@boerenvanveen.nl;www.boerenvanveen.nl;588.873.400.000.000;5.256.097.100.000.000;10063274;1;1;1
Boerboom Loodgietersbedrijf;Fahrenheitstraat 3 / 6902 PX ZEVENAAR / NL;+31 316523532;info@boerboomzevenaar.nl;www.boerboomloodgieter.nl;609.772.380.000.000;5.193.102.580.000.000;300046275;1;1;1
