ID;Naam;Adres;Postcode;Plaats;Tel;Website;Email;Type;Kleur;Longtitude;Latitude;AdresEnPostcode
1;Baderie Alwako;Hazestraat 51;5555 AB;Valkenswaard;040-2048624;www.baderie.nl/showrooms/alwako/;;Metropolitan Spa;Antraciet;54671981;513498008;Hazestraat 51, Valkenswaard 5555 AB
2;Aqualon;Vlasstraat 8;5561 AJ;Riethoven;040-2013327;www.aqualon.nl;;Vitalo Bar;Traffic White RAL 9016;53902104;513553081;Vlasstraat 8, Riethoven 5561 AJ
3;Aqualon;Vlasstraat 8;5561 AJ;Riethoven;040-2013327;www.aqualon.nl;;Charleston;Technoline 0325;53902104;513553081;Vlasstraat 8, Riethoven 5561 AJ
4;Aqualon;Vlasstraat 8;5561 AJ;Riethoven;040-2013327;www.aqualon.nl;;Vitalo Spa;White Aluminium 9006;53902104;513553081;Vlasstraat 8, Riethoven 5561 AJ
5;Aqualon;Vlasstraat 8;5561 AJ;Riethoven;040-2013327;www.aqualon.nl;;Metropolitan Spa;Violet 0518;53902104;513553081;Vlasstraat 8, Riethoven 5561 AJ
6;Loodgietersbedrijf Dellebeke;Kanaalstraat 76;4388 BP;Oost Souburg;0118 461474;;;Subway;Zwart;35974004;514644451;Kanaalstraat 76, Oost Souburg 4388 BP
7;Loodgietersbedrijf Dellebeke;Kanaalstraat 76;4388 BP;Oost Souburg;0118 461474;;;;;35974004;514644451;Kanaalstraat 76, Oost Souburg 4388 BP
8;Gernova;Goudenrijderhof 34;5551 VJ;Valkenswaard;040-2040848;www.gernova.nl;;Subway;Pacific Blue 0519;54268003;513497087;Goudenrijderhof 34, Valkenswaard 5551 VJ
9;Gernova;Goudenrijderhof 34;5551 VJ;Valkenswaard;040-2040848;www.gernova.nl;;Roda Twist;Traffic White RAL 9016;54268003;513497087;Goudenrijderhof 34, Valkenswaard 5551 VJ
10;Gernova;Goudenrijderhof 34;5551 VJ;Valkenswaard;040-2040848;www.gernova.nl;;Metropolitan Spa;Ruby Red RAL 3003;54268003;513497087;Goudenrijderhof 34, Valkenswaard 5551 VJ
11;Gernova;Goudenrijderhof 34;5551 VJ;Valkenswaard;040-2040848;www.gernova.nl;;Metropolitan;Antraciet;54268003;513497087;Goudenrijderhof 34, Valkenswaard 5551 VJ
12;Jan van Erp;Sluisweg 11;6121 JR;Born;046-4857629;www.janvanerp.nl/showrooms/born;;Subway;Zwart;58021395;510353574;Sluisweg 11, Born 6121 JR
13;Jan van Erp;Sluisweg 11;6121 JR;Born;046-4857629;www.janvanerp.nl/showrooms/born;;Zeno;Traffic White RAL 9016;58021395;510353574;Sluisweg 11, Born 6121 JR
14;Jan van Erp;Sluisweg 11;6121 JR;Born;046-4857629;www.janvanerp.nl/showrooms/born;;Toga;Traffic White RAL 9016;58021395;510353574;Sluisweg 11, Born 6121 JR
15;Jan van Erp;Sluisweg 11;6121 JR;Born;046-4857629;www.janvanerp.nl/showrooms/born;;Metropolitan Bar;Antraciet;58021395;510353574;Sluisweg 11, Born 6121 JR
16;Jan van Erp;Geldropseweg 67;5611 SE;Eindhoven;040-2117446;www.janvanerp.nl/showrooms/eindhoven;;Metropolitan Spa;Antraciet;54888442;514336984;Geldropseweg 67, Eindhoven 5611 SE
17;Jan van Erp;Geldropseweg 67;5611 SE;Eindhoven;040-2117446;www.janvanerp.nl/showrooms/eindhoven;;Subway;Traffic White RAL 9016;54888442;514336984;Geldropseweg 67, Eindhoven 5611 SE
18;Jan van Erp;Geldropseweg 67;5611 SE;Eindhoven;040-2117446;www.janvanerp.nl/showrooms/eindhoven;;Toga;Antraciet RAL 7016;54888442;514336984;Geldropseweg 67, Eindhoven 5611 SE
19;Jan van Erp;Geldropseweg 67;5611 SE;Eindhoven;040-2117446;www.janvanerp.nl/showrooms/eindhoven;;Zeno;Traffic White RAL 9016;54888442;514336984;Geldropseweg 67, Eindhoven 5611 SE
20;Jan van Erp;Geldropseweg 67;5611 SE;Eindhoven;040-2117446;www.janvanerp.nl/showrooms/eindhoven;;Nova Spa;Antraciet;54888442;514336984;Geldropseweg 67, Eindhoven 5611 SE
21;Jan van Erp;Belgiëstraat 4;5171 PN;Kaatsheuvel;0416-279039;www.janvanerp.nl/showrooms/kaatsheuvel;;Quaro;Traffic White RAL 9016;50301566;516655144;Belgiëstraat 4, Kaatsheuvel 5171 PN
22;Jan van Erp;Belgiëstraat 4;5171 PN;Kaatsheuvel;0416-279039;www.janvanerp.nl/showrooms/kaatsheuvel;;Metropolitan Bar;Traffic White RAL 9016;50301566;516655144;Belgiëstraat 4, Kaatsheuvel 5171 PN
23;Jan van Erp;Belgiëstraat 4;5171 PN;Kaatsheuvel;0416-279039;www.janvanerp.nl/showrooms/kaatsheuvel;;Nova;Traffic White RAL 9016;50301566;516655144;Belgiëstraat 4, Kaatsheuvel 5171 PN
24;Jan van Erp;Belgiëstraat 4;5171 PN;Kaatsheuvel;0416-279039;www.janvanerp.nl/showrooms/kaatsheuvel;;Charleston Bar;Technoline 0325;50301566;516655144;Belgiëstraat 4, Kaatsheuvel 5171 PN
25;Jan van Erp;Belgiëstraat 4;5171 PN;Kaatsheuvel;0416-279039;www.janvanerp.nl/showrooms/kaatsheuvel;;Toga;Antraciet;50301566;516655144;Belgiëstraat 4, Kaatsheuvel 5171 PN
26;Jan van Erp;Rooiseheide 21;5481 SG;Schijndel;073-5493165 ;www.janvanerp.nl/showrooms/schijndel;;Metropolitan Bar;Antraciet;54423017;516050146;Rooiseheide 21, Schijndel 5481 SG
27;Jan van Erp;Rooiseheide 21;5481 SG;Schijndel;073-5493165 ;www.janvanerp.nl/showrooms/schijndel;;Janda Bow;Beige Quartz 0523;54423017;516050146;Rooiseheide 21, Schijndel 5481 SG
28;Jan van Erp;Rooiseheide 21;5481 SG;Schijndel;073-5493165 ;www.janvanerp.nl/showrooms/schijndel;;Nova Spa;Traffic White RAL 9016;54423017;516050146;Rooiseheide 21, Schijndel 5481 SG
29;Jan van Erp;Rooiseheide 21;5481 SG;Schijndel;073-5493165 ;www.janvanerp.nl/showrooms/schijndel;;Zeno;Traffic White RAL 9016;54423017;516050146;Rooiseheide 21, Schijndel 5481 SG
30;Jan van Erp;Rooiseheide 21;5481 SG;Schijndel;073-5493165 ;www.janvanerp.nl/showrooms/schijndel;;Quaro;Traffic White RAL 9016;54423017;516050146;Rooiseheide 21, Schijndel 5481 SG
31;Kömhoff;J.F.Kennedylaan 2;5981 XC;Panningen;077-3071215;www.komhoff.nl;;Metropolitan;Antraciet;59716637;513306968;J.F.Kennedylaan 2, Panningen 5981 XC
32;Kömhoff;J.F.Kennedylaan 2;5981 XC;Panningen;077-3071215;www.komhoff.nl;;Universal;Traffic White RAL 9016;59716637;513306968;J.F.Kennedylaan 2, Panningen 5981 XC
33;Plieger;Hurksestraat 42-08;5652 AL;Eindhoven;040-2911920;www.plieger.nl/consument/vestigingen/eindhoven/;;Vitalo Bar;Traffic White RAL 9016;54301000;514353763;Hurksestraat 42-08, Eindhoven 5652 AL
34;Plieger;Hurksestraat 42-08;5652 AL;Eindhoven;040-2911920;www.plieger.nl/consument/vestigingen/eindhoven/;;Charleston Bar;Technoline 0325;54301000;514353763;Hurksestraat 42-08, Eindhoven 5652 AL
35;Plieger;Nansenbaan 15;4462 GR;Goes;0113-246465;www.plieger.nl/consument/vestigingen/goes/;;Metropolitan Spa;Traffic White RAL 9016;38771051;514881719;Nansenbaan 15, Goes 4462 GR
36;Plieger;Galjoenweg 43;6222 NS;Maastricht;043-3690721;www.plieger.nl/consument/vestigingen/maastricht/;;Metropolitan Spa;Antraciet;57115505;508730514;Galjoenweg 43, Maastricht 6222 NS
37;Plieger;Van Voordenpark 19;5301 KP;Zaltbommel;0418-572210;www.plieger.nl/consument/vestigingen/zaltbommel/;;Metropolitan Bar;Traffic White RAL 9016;52599073;517977786;Van Voordenpark 19, Zaltbommel 5301 KP
38;Tegro;Tongerlosehoefstraat 77-17;5046 NE;Tilburg;013-5434215;www.tegro.nl;;Metropolitan Bar;Traffic White RAL 9016;50691586;515689217;Tongerlosehoefstraat 77-17, Tilburg 5046 NE
39;Tegro;Tongerlosehoefstraat 77-17;5046 NE;Tilburg;013-5434215;www.tegro.nl;;Subway;Antraciet;50691586;515689217;Tongerlosehoefstraat 77-17, Tilburg 5046 NE
40;Tibosch;Milrooyseweg 55;5258 KG;Berlicum;073-5032331;www.tibosch.nl;;Charleston;Technoline 0325;54101291;516710631;Milrooyseweg 55, Berlicum 5258 KG
41;Van Goch;Ambachtsstraat 1a;5391 BS;Nuland;073-5321536;www.fvangoch.nl;;Subway;Antraciet;54419407;517225802;Ambachtsstraat 1a, Nuland 5391 BS
42;Van Goch;Ambachtsstraat 1a;5391 BS;Nuland;073-5321536;www.fvangoch.nl;;Metropolitan Bar;Antraciet;54419407;517225802;Ambachtsstraat 1a, Nuland 5391 BS
43;Van der Velden;Ekkersrijt 4202;5692 DE;Son;0499 - 490092;www.veldenverwarming.nl;;Metropolitan Spa;Violet 0518;54711667;515005824;Ekkersrijt 4202, Son 5692 DE
